states,x,y
Jammu & Kashmir,-137,267
Himachal Pradesh,-106,196
Punjab,-145,169
Uttranchal,-62,154
Haryana,-127,130
Delhi,-105,116
Rajasthan,-186,75
Uttar Pradesh,-41,88
Gujarat,-219,-8
Madhya Pradesh,-91,-6
Maharastra,-147,-85
Goa,-165,-173
Tamil Nadu,-81,-266
Kerala,-123,-273
Karnataka,-134,-186
Andra Pradesh,-67,-177
Orrisa,45,-59
Telangana,-70,-119
Chattisgarh,-14,-42
Jharkhand,54,2
Bihar,65,50
West Bengal,106,-12
Sikkim,120,94
Arunachal Pradesh,235,116
Assam,214,65
Nagaland,244,65
Manipur,228,27
Mizoram,212,3
Tripura,186,6
Meghalaya,163,48
Lakshadeep,-202,-272
Andaman and Nicobar Islands,207,-240
Puducherry,-55,-242
Chandigarh,-111,165
Daman and Diu,-192,-68
Dadra and Nagar Haveii,-186,-70